"ID","Site","Zone","Habitat","Transect","Class","Order","Family","Genus","GenusSpecies","Length","Abundance","a","b","NT","Lm","Lmax","BodyShape","DemersPelag","PriceCateg","UsedasBait","Aquarium","Importance","Comments"
"ITSPSM0","ITSP","S","M","0","Actinopterygii","Scorpaeniformes","Cottidae","Clinocottus","Clinocottus analis","5",1,NA,NA,NA,NA,NA,"elongated","demersal","low","never/rarely","never/rarely",NA,"A resident intertidal species with homing behavior (Ref. 32612).  Often among intertidal algae.  May leave tide pools if aquatic conditions become inhospitable (Ref. 31184).  Breathes air when out of water (Ref. 31184)."
"ITSPSM0","ITSP","S","M","0","Actinopterygii","Perciformes","Pomacentridae","Hypsypops","Hypsypops rubicundus","5",1,0.020213841,3.0895,3.2,NA,NA,"short and / or deep","reef-associated","unknown","never/rarely","never/rarely",NA,"Adults occur over rocky bottom in clear water, often near crevices and small caves, occasionally in kelp.  Adults defend a home territory.  Feed mainly on attached invertebrates.  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).  Have been reared in captivity (Ref. 35420)."
"ITSPSM0","ITSP","S","M","0","Actinopterygii","Perciformes","Gobiidae","Rhinogobiops","Rhinogobiops nicholsii","5",1,NA,NA,NA,NA,NA,"fusiform / normal","demersal","very high","never/rarely","public aquariums",NA,"Found usually in sandy areas near rocks.  Occurs from intertidal areas to 106 m depth.  Retreats to rocks or holes when approached.  Young are found usually offshore among plankton.  Oviparous (Ref. 56079).  A protogynous hermaphrodite (Ref. 34256).  Forms permanent harem groups composed of a single male  and several smaller females (Ref. 55367).  Eggs are guarded by the male (Ref. 56079)."
"ITSPSM0","ITSP","S","M","0","Actinopterygii","Perciformes","Carangidae","Trachurus","Trachurus symmetricus","5",1,NA,NA,NA,NA,NA,"fusiform / normal","pelagic-oceanic","low","never/rarely","never/rarely","commercial","Adults are often found offshore, up to 500 miles from the coast (Ref. 9283).  They form large schools (Ref. 2850).  Young frequently occur in school near kelp and under piers (Ref. 2850).  They feed mainly on small crustaceans and fish larvae (Ref. 9283).  Large individuals often move inshore and north in the summer (Ref. 2850).  Marketed fresh, smoked, canned and frozen; eaten fried, broiled and baked (Ref. 9988)."
"RETNF1","RET","N","F","1","Actinopterygii","Perciformes","Pomacentridae","Chromis","Chromis punctipinnis","5",58,0.01479,2.99,2.7,NA,NA,"fusiform / normal","reef-associated","unknown","never/rarely",NA,"minor commercial","Adults occur near bottom over or near rocks, especially over steep banks, and also in kelp beds.  Young school in open ocean.  They retire to rocky holes at night (Ref. 7247).  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).  Good eating."
"RETNF1","RET","N","F","1","Actinopterygii","Perciformes","Embiotocidae","Embiotoca","Embiotoca jacksoni","5",1,0.053184015,2.864,3.3,NA,39,"short and / or deep","demersal","unknown",NA,NA,NA,"Adults chiefly live in rocky areas near kelp, occasionally over sand bottom of coastal bays and around piers and pilings, and rarely in surf.  Occur from intertidal areas to 46 m depth, but usually at about 6.1 m.  Usually form small groups.  Viviparous, female carries the developing young (Ref. 205)."
"RETNF1","RET","N","F","1","Actinopterygii","Perciformes","Labridae","Oxyjulis","Oxyjulis californica","5",49,0.00447,3.14,3.1,NA,25,"elongated","demersal","very high","never/rarely","commercial",NA,"Live in kelp and other seaweeds and over rocks. Occurs in intertidal up to 97 m (Ref. 96339). Found usually at depths shallower than 23 m but also caught at depths up to 73 m.  Often form small groups, frequently well off bottom.  When disturbed often burrows in bottom sediment.  Sleep at night buried in sand with head protruding.  Feed on a variety of small invertebrates and also picks parasites from other fishes that come to be cleaned.  No sex reversal.  Pelagic spawner (Ref. 56049)."
"RETNF2","RET","N","F","2","Actinopterygii","Perciformes","Pomacentridae","Chromis","Chromis punctipinnis","5",12,0.01479,2.99,2.7,NA,NA,"fusiform / normal","reef-associated","unknown","never/rarely",NA,"minor commercial","Adults occur near bottom over or near rocks, especially over steep banks, and also in kelp beds.  Young school in open ocean.  They retire to rocky holes at night (Ref. 7247).  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).  Good eating."
"RETNF2","RET","N","F","2","Actinopterygii","Perciformes","Labridae","Oxyjulis","Oxyjulis californica","5",22,0.00447,3.14,3.1,NA,25,"elongated","demersal","very high","never/rarely","commercial",NA,"Live in kelp and other seaweeds and over rocks. Occurs in intertidal up to 97 m (Ref. 96339). Found usually at depths shallower than 23 m but also caught at depths up to 73 m.  Often form small groups, frequently well off bottom.  When disturbed often burrows in bottom sediment.  Sleep at night buried in sand with head protruding.  Feed on a variety of small invertebrates and also picks parasites from other fishes that come to be cleaned.  No sex reversal.  Pelagic spawner (Ref. 56049)."
"RETNF3","RET","N","F","3","Actinopterygii","Perciformes","Pomacentridae","Chromis","Chromis punctipinnis","5",23,0.01479,2.99,2.7,NA,NA,"fusiform / normal","reef-associated","unknown","never/rarely",NA,"minor commercial","Adults occur near bottom over or near rocks, especially over steep banks, and also in kelp beds.  Young school in open ocean.  They retire to rocky holes at night (Ref. 7247).  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).  Good eating."
"RETNF0","RET","N","F","0","Actinopterygii","Scorpaeniformes","Cottidae","Artedius","Artedius corallinus","5",1,NA,NA,NA,NA,NA,"elongated","demersal","low",NA,NA,NA,"Occurs in rocky areas, intertidal and to 21 m depth."
"RETNM1","RET","N","M","1","Actinopterygii","Perciformes","Embiotocidae","Brachyistius","Brachyistius frenatus","5",21,NA,NA,NA,NA,NA,"fusiform / normal","demersal","unknown","never/rarely","public aquariums",NA,"Found among giant kelp, usually up in kelp canopy.  Feed on small crustaceans, especially ones that live on kelp.  Also a cleaner which picks external parasites from other fishes.  Usually occur in large aggregations in summer (Ref. 2850).  Viviparous, female carries the developing young (Ref. 205)."
"RETNM1","RET","N","M","1","Actinopterygii","Perciformes","Pomacentridae","Chromis","Chromis punctipinnis","5",40,0.01479,2.99,2.7,NA,NA,"fusiform / normal","reef-associated","unknown","never/rarely",NA,"minor commercial","Adults occur near bottom over or near rocks, especially over steep banks, and also in kelp beds.  Young school in open ocean.  They retire to rocky holes at night (Ref. 7247).  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).  Good eating."
"RETNM1","RET","N","M","1","Actinopterygii","Perciformes","Labridae","Oxyjulis","Oxyjulis californica","5",1,0.00447,3.14,3.1,NA,25,"elongated","demersal","very high","never/rarely","commercial",NA,"Live in kelp and other seaweeds and over rocks. Occurs in intertidal up to 97 m (Ref. 96339). Found usually at depths shallower than 23 m but also caught at depths up to 73 m.  Often form small groups, frequently well off bottom.  When disturbed often burrows in bottom sediment.  Sleep at night buried in sand with head protruding.  Feed on a variety of small invertebrates and also picks parasites from other fishes that come to be cleaned.  No sex reversal.  Pelagic spawner (Ref. 56049)."
"RETNM1","RET","N","M","1","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes serranoides","5",1,0.01,3.07,4.15,34.25,61,"fusiform / normal","reef-associated","medium","never/rarely","never/rarely",NA,"Sometimes found well off bottom, in or near kelp or over rocky reefs (Ref. 2850).  Juveniles are pelagic (Ref. 36715).  Viviparous, with planktonic larvae (Ref. 36715)."
"RETNM2","RET","N","M","2","Actinopterygii","Perciformes","Embiotocidae","Brachyistius","Brachyistius frenatus","5",1,NA,NA,NA,NA,NA,"fusiform / normal","demersal","unknown","never/rarely","public aquariums",NA,"Found among giant kelp, usually up in kelp canopy.  Feed on small crustaceans, especially ones that live on kelp.  Also a cleaner which picks external parasites from other fishes.  Usually occur in large aggregations in summer (Ref. 2850).  Viviparous, female carries the developing young (Ref. 205)."
"RETNM3","RET","N","M","3","Actinopterygii","Perciformes","Embiotocidae","Brachyistius","Brachyistius frenatus","5",27,NA,NA,NA,NA,NA,"fusiform / normal","demersal","unknown","never/rarely","public aquariums",NA,"Found among giant kelp, usually up in kelp canopy.  Feed on small crustaceans, especially ones that live on kelp.  Also a cleaner which picks external parasites from other fishes.  Usually occur in large aggregations in summer (Ref. 2850).  Viviparous, female carries the developing young (Ref. 205)."
"RETNM3","RET","N","M","3","Actinopterygii","Perciformes","Labridae","Oxyjulis","Oxyjulis californica","5",2,0.00447,3.14,3.1,NA,25,"elongated","demersal","very high","never/rarely","commercial",NA,"Live in kelp and other seaweeds and over rocks. Occurs in intertidal up to 97 m (Ref. 96339). Found usually at depths shallower than 23 m but also caught at depths up to 73 m.  Often form small groups, frequently well off bottom.  When disturbed often burrows in bottom sediment.  Sleep at night buried in sand with head protruding.  Feed on a variety of small invertebrates and also picks parasites from other fishes that come to be cleaned.  No sex reversal.  Pelagic spawner (Ref. 56049)."
"RETNM0","RET","N","M","0","Actinopterygii","Scorpaeniformes","Cottidae","Artedius","Artedius corallinus","5",1,NA,NA,NA,NA,NA,"elongated","demersal","low",NA,NA,NA,"Occurs in rocky areas, intertidal and to 21 m depth."
"RETNM0","RET","N","M","0","Actinopterygii","Perciformes","Embiotocidae","Embiotoca","Embiotoca jacksoni","5",1,0.053184015,2.864,3.3,NA,39,"short and / or deep","demersal","unknown",NA,NA,NA,"Adults chiefly live in rocky areas near kelp, occasionally over sand bottom of coastal bays and around piers and pilings, and rarely in surf.  Occur from intertidal areas to 46 m depth, but usually at about 6.1 m.  Usually form small groups.  Viviparous, female carries the developing young (Ref. 205)."
"RETNM0","RET","N","M","0","Actinopterygii","Perciformes","Embiotocidae","Hypsurus","Hypsurus caryi","5",1,NA,NA,NA,NA,NA,"short and / or deep","demersal","unknown",NA,NA,NA,"Adults occur in rocky shores, often at edges of kelp beds, occasionally over sand but not in surf (Ref. 2850).  Viviparous, female carries the developing young (Ref. 205).  Caught mostly by rocky shore fishermen.  Aggregates in the fall."
"RETNM0","RET","N","M","0","Actinopterygii","Perciformes","Pomacentridae","Hypsypops","Hypsypops rubicundus","5",1,0.020213841,3.0895,3.2,NA,NA,"short and / or deep","reef-associated","unknown","never/rarely","never/rarely",NA,"Adults occur over rocky bottom in clear water, often near crevices and small caves, occasionally in kelp.  Adults defend a home territory.  Feed mainly on attached invertebrates.  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).  Have been reared in captivity (Ref. 35420)."
"RETNM0","RET","N","M","0","Actinopterygii","Scorpaeniformes","Hexagrammidae","Oxylebius","Oxylebius pictus","5",1,NA,NA,NA,NA,NA,"fusiform / normal","demersal","unknown","never/rarely","never/rarely",NA,"Found in rocky areas, from the intertidal to 49 m (Ref. 2850).  Sleeps on the oral disc, leaving the anemone (<i>Urticina lofotensis</i>) by day but returning every night (Ref. 45560).  Commonly encountered hovering motionless by divers (Ref. 2850).  Feeds on crustaceans, polychaetes, small mollusks and bryozoans (Ref. 4930).  Neither anterolateral glandular grooves nor venom gland is present (Ref. 57406)."
"RETNM0","RET","N","M","0","Actinopterygii","Perciformes","Serranidae","Paralabrax","Paralabrax clathratus","5",1,0.00273,3.27,3.93,NA,72,"fusiform / normal","benthopelagic","very high",NA,NA,"commercial","Usually found in or near kelp beds, shallow water and to about 50 m but mostly from 2.4-21m .  Found throughout water column.  Large specimens usually occur in deeper water.  Juveniles feed on benthic invertebrates (especially crustaceans); adults feed on fishes and cephalopods (Ref.9342).  Both juveniles and adults may feed on plankton when abundant (Ref.9342).  Pelagic spawners (Ref. 56049).  Also caught with troll lines (Ref. 9342).  Excellent food fish and an important game fish (Ref. 9342)."
"RETNM0","RET","N","M","0","Actinopterygii","Perciformes","Gobiidae","Rhinogobiops","Rhinogobiops nicholsii","5",1,NA,NA,NA,NA,NA,"fusiform / normal","demersal","very high","never/rarely","public aquariums",NA,"Found usually in sandy areas near rocks.  Occurs from intertidal areas to 106 m depth.  Retreats to rocks or holes when approached.  Young are found usually offshore among plankton.  Oviparous (Ref. 56079).  A protogynous hermaphrodite (Ref. 34256).  Forms permanent harem groups composed of a single male  and several smaller females (Ref. 55367).  Eggs are guarded by the male (Ref. 56079)."
"RETNM0","RET","N","M","0","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes atrovirens","5",1,NA,NA,NA,NA,NA,"fusiform / normal","demersal","medium","never/rarely","never/rarely",NA,"Usually found on or near bottom in kelp beds or rocky areas (Ref. 2850).  Viviparous, with planktonic larvae (Ref. 36715)."
"RETNM0","RET","N","M","0","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes chrysomelas","5",1,0.01,3.07,NA,16,39,"fusiform / normal","demersal","medium","never/rarely","never/rarely",NA,"Inhabit holes and crevices in rocky areas (Ref. 2850).  Found in intertidal areas and to 37 m (Ref. 2850).  Viviparous (Ref. 34817)."
"RETNM0","RET","N","M","0","Actinopterygii","Perciformes","Labridae","Semicossyphus","Semicossyphus pulcher","5",1,0.0289,3,NA,NA,91,"fusiform / normal","reef-associated","very high","never/rarely","commercial","commercial","Prefer rocky bottom, particularly in kelp beds.  Often feed on hard-shelled organisms such as sea urchins, mollusks, lobsters and crabs.  Spawning occur during the summer and the eggs are pelagic (Ref. 9311).  Live to more than 50 years of age.  Each individual functions first as a female but changes to a male at a length of about 30 cm.  Pelagic spawners (Ref. 56049).  Flesh is white,  of good quality and marketed fresh (Ref. 9311).  The large teeth can cause serious bite wounds."
"RETNM0","RET","N","M","0","Actinopterygii","Perciformes","Labridae","Semicossyphus","Semicossyphus pulcher","5",1,0.0289,3,3.6,NA,91,"fusiform / normal","reef-associated","very high","never/rarely","commercial","commercial","Prefer rocky bottom, particularly in kelp beds.  Often feed on hard-shelled organisms such as sea urchins, mollusks, lobsters and crabs.  Spawning occur during the summer and the eggs are pelagic (Ref. 9311).  Live to more than 50 years of age.  Each individual functions first as a female but changes to a male at a length of about 30 cm.  Pelagic spawners (Ref. 56049).  Flesh is white,  of good quality and marketed fresh (Ref. 9311).  The large teeth can cause serious bite wounds."
"RETSF1","RET","S","F","1","Actinopterygii","Perciformes","Labridae","Oxyjulis","Oxyjulis californica","5",9,0.00447,3.14,3.1,NA,25,"elongated","demersal","very high","never/rarely","commercial",NA,"Live in kelp and other seaweeds and over rocks. Occurs in intertidal up to 97 m (Ref. 96339). Found usually at depths shallower than 23 m but also caught at depths up to 73 m.  Often form small groups, frequently well off bottom.  When disturbed often burrows in bottom sediment.  Sleep at night buried in sand with head protruding.  Feed on a variety of small invertebrates and also picks parasites from other fishes that come to be cleaned.  No sex reversal.  Pelagic spawner (Ref. 56049)."
"RETSF2","RET","S","F","2","Actinopterygii","Perciformes","Pomacentridae","Chromis","Chromis punctipinnis","5",1,0.01479,2.99,2.7,NA,NA,"fusiform / normal","reef-associated","unknown","never/rarely",NA,"minor commercial","Adults occur near bottom over or near rocks, especially over steep banks, and also in kelp beds.  Young school in open ocean.  They retire to rocky holes at night (Ref. 7247).  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).  Good eating."
"RETSF2","RET","S","F","2","Actinopterygii","Perciformes","Labridae","Oxyjulis","Oxyjulis californica","5",45,0.00447,3.14,3.1,NA,25,"elongated","demersal","very high","never/rarely","commercial",NA,"Live in kelp and other seaweeds and over rocks. Occurs in intertidal up to 97 m (Ref. 96339). Found usually at depths shallower than 23 m but also caught at depths up to 73 m.  Often form small groups, frequently well off bottom.  When disturbed often burrows in bottom sediment.  Sleep at night buried in sand with head protruding.  Feed on a variety of small invertebrates and also picks parasites from other fishes that come to be cleaned.  No sex reversal.  Pelagic spawner (Ref. 56049)."
"RETSF3","RET","S","F","3","Actinopterygii","Perciformes","Pomacentridae","Chromis","Chromis punctipinnis","5",18,0.01479,2.99,2.7,NA,NA,"fusiform / normal","reef-associated","unknown","never/rarely",NA,"minor commercial","Adults occur near bottom over or near rocks, especially over steep banks, and also in kelp beds.  Young school in open ocean.  They retire to rocky holes at night (Ref. 7247).  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).  Good eating."
"RETSF3","RET","S","F","3","Actinopterygii","Perciformes","Labridae","Oxyjulis","Oxyjulis californica","5",6,0.00447,3.14,3.1,NA,25,"elongated","demersal","very high","never/rarely","commercial",NA,"Live in kelp and other seaweeds and over rocks. Occurs in intertidal up to 97 m (Ref. 96339). Found usually at depths shallower than 23 m but also caught at depths up to 73 m.  Often form small groups, frequently well off bottom.  When disturbed often burrows in bottom sediment.  Sleep at night buried in sand with head protruding.  Feed on a variety of small invertebrates and also picks parasites from other fishes that come to be cleaned.  No sex reversal.  Pelagic spawner (Ref. 56049)."
"RETSF0","RET","S","F","0","Actinopterygii","Scorpaeniformes","Cottidae","Artedius","Artedius corallinus","5",1,NA,NA,NA,NA,NA,"elongated","demersal","low",NA,NA,NA,"Occurs in rocky areas, intertidal and to 21 m depth."
"RETSF0","RET","S","F","0","Actinopterygii","Atheriniformes","Atherinopsidae","Atherinops","Atherinops affinis","5",1,NA,NA,NA,NA,NA,"elongated","pelagic-neritic","unknown","never/rarely","never/rarely","commercial","Common in bays, muddy and rocky areas and kelp beds, also in estuaries (Ref. 36497).  Form schools.  Adults feed on zooplankton (Ref. 9273), while juveniles feed on algae and kelp fly larvae (Ref. 4930).  Demersal spawner in nearshore habitats (Ref. 56049).  Oviparous, with planktonic, primarily neustonic larvae (Ref. 36497).  Eggs are attached to spawning substrate and to one another by adhesive filaments (Ref. 36497)."
"RETSF0","RET","S","F","0","Actinopterygii","Perciformes","Clinidae","Gibbonsia","Gibbonsia elegans","5",1,NA,NA,NA,NA,NA,NA,"demersal","unknown",NA,NA,NA,"Found from subtidal rocky areas to 56 m depth, usually in seaweed.  Female lays white eggs in seaweed, male guards egg mass (Ref. 2850)."
"RETSF0","RET","S","F","0","Actinopterygii","Perciformes","Kyphosidae","Girella","Girella nigricans","5",1,0.0155,3.03,2.8,NA,66,"short and / or deep","benthopelagic","medium","never/rarely","never/rarely","commercial","A resident intertidal species with homing behavior (Ref. 32612).  Can leave tide pools if aquatic conditions become inhospitable (Ref. 31184).  Also found near or over rocks and in kelp beds up to about 30 m depth.  Feed mainly on seaweed, occasionally takes invertebrates.  Form dense schools in spring in kelp beds.  Pelagic spawner (Ref. 56049).  Breathe air when out of water (Ref. 31184).  Considered an important game fish and may incidentally be caught in commercial fishing activities (Ref. 9310).  Marketed fresh (Ref. 9310)."
"RETSF0","RET","S","F","0","Actinopterygii","Perciformes","Kyphosidae","Medialuna","Medialuna californiensis","5",1,NA,NA,NA,NA,NA,"fusiform / normal","demersal","unknown",NA,NA,NA,"Often occur in rocky areas and in kelp beds.  Found from inshore areas to 40 m depth.  Feed on seaweed and small invertebrates.  Pelagic spawner (Ref. 56049).  Also caught with harpoons.  The flesh is of excellent quality and is marketed fresh (Ref. 9310)."
"RETSF0","RET","S","F","0","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes atrovirens","5",1,NA,NA,NA,NA,NA,"fusiform / normal","demersal","medium","never/rarely","never/rarely",NA,"Usually found on or near bottom in kelp beds or rocky areas (Ref. 2850).  Viviparous, with planktonic larvae (Ref. 36715)."
"RETSM1","RET","S","M","1","Actinopterygii","Perciformes","Labridae","Oxyjulis","Oxyjulis californica","5",60,0.00447,3.14,3.1,NA,25,"elongated","demersal","very high","never/rarely","commercial",NA,"Live in kelp and other seaweeds and over rocks. Occurs in intertidal up to 97 m (Ref. 96339). Found usually at depths shallower than 23 m but also caught at depths up to 73 m.  Often form small groups, frequently well off bottom.  When disturbed often burrows in bottom sediment.  Sleep at night buried in sand with head protruding.  Feed on a variety of small invertebrates and also picks parasites from other fishes that come to be cleaned.  No sex reversal.  Pelagic spawner (Ref. 56049)."
"RETSM2","RET","S","M","2","Actinopterygii","Perciformes","Labridae","Oxyjulis","Oxyjulis californica","5",30,0.00447,3.14,3.1,NA,25,"elongated","demersal","very high","never/rarely","commercial",NA,"Live in kelp and other seaweeds and over rocks. Occurs in intertidal up to 97 m (Ref. 96339). Found usually at depths shallower than 23 m but also caught at depths up to 73 m.  Often form small groups, frequently well off bottom.  When disturbed often burrows in bottom sediment.  Sleep at night buried in sand with head protruding.  Feed on a variety of small invertebrates and also picks parasites from other fishes that come to be cleaned.  No sex reversal.  Pelagic spawner (Ref. 56049)."
"RETSM0","RET","S","M","0","Actinopterygii","Atheriniformes","Atherinopsidae","Atherinops","Atherinops affinis","5",1,NA,NA,NA,NA,NA,"elongated","pelagic-neritic","unknown","never/rarely","never/rarely","commercial","Common in bays, muddy and rocky areas and kelp beds, also in estuaries (Ref. 36497).  Form schools.  Adults feed on zooplankton (Ref. 9273), while juveniles feed on algae and kelp fly larvae (Ref. 4930).  Demersal spawner in nearshore habitats (Ref. 56049).  Oviparous, with planktonic, primarily neustonic larvae (Ref. 36497).  Eggs are attached to spawning substrate and to one another by adhesive filaments (Ref. 36497)."
"RETSM0","RET","S","M","0","Actinopterygii","Perciformes","Pomacentridae","Chromis","Chromis punctipinnis","5",1,0.01479,2.99,2.7,NA,NA,"fusiform / normal","reef-associated","unknown","never/rarely",NA,"minor commercial","Adults occur near bottom over or near rocks, especially over steep banks, and also in kelp beds.  Young school in open ocean.  They retire to rocky holes at night (Ref. 7247).  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).  Good eating."
"RETSM0","RET","S","M","0","Actinopterygii","Perciformes","Embiotocidae","Embiotoca","Embiotoca jacksoni","5",1,0.053184015,2.864,3.3,NA,39,"short and / or deep","demersal","unknown",NA,NA,NA,"Adults chiefly live in rocky areas near kelp, occasionally over sand bottom of coastal bays and around piers and pilings, and rarely in surf.  Occur from intertidal areas to 46 m depth, but usually at about 6.1 m.  Usually form small groups.  Viviparous, female carries the developing young (Ref. 205)."
"RETSM0","RET","S","M","0","Actinopterygii","Perciformes","Clinidae","Gibbonsia","Gibbonsia elegans","5",1,NA,NA,NA,NA,NA,NA,"demersal","unknown",NA,NA,NA,"Found from subtidal rocky areas to 56 m depth, usually in seaweed.  Female lays white eggs in seaweed, male guards egg mass (Ref. 2850)."
"RETSM0","RET","S","M","0","Actinopterygii","Perciformes","Embiotocidae","Hypsurus","Hypsurus caryi","5",1,NA,NA,NA,NA,NA,"short and / or deep","demersal","unknown",NA,NA,NA,"Adults occur in rocky shores, often at edges of kelp beds, occasionally over sand but not in surf (Ref. 2850).  Viviparous, female carries the developing young (Ref. 205).  Caught mostly by rocky shore fishermen.  Aggregates in the fall."
"RETSM0","RET","S","M","0","Actinopterygii","Perciformes","Pomacentridae","Hypsypops","Hypsypops rubicundus","5",1,0.020213841,3.0895,3.2,NA,NA,"short and / or deep","reef-associated","unknown","never/rarely","never/rarely",NA,"Adults occur over rocky bottom in clear water, often near crevices and small caves, occasionally in kelp.  Adults defend a home territory.  Feed mainly on attached invertebrates.  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).  Have been reared in captivity (Ref. 35420)."
"RETSM0","RET","S","M","0","Actinopterygii","Scorpaeniformes","Hexagrammidae","Ophiodon","Ophiodon elongatus","5",1,0.0133,3,4.3,50,152,"elongated","demersal","low","never/rarely","never/rarely","commercial","Ranges from the intertidal to 475 m depth (Ref. 6793).  Adults are found near rocks, inshore and to 427 m (Ref. 2850).  Young occur on sand or mud bottom of bays and inshore areas (Ref. 2850).  Both migratory and non-migratory populations exist (Ref. 6885).  Adults feed mostly on other fishes but also take crustaceans, octopi and squid (Ref. 4925).  Young feed on copepods and other small crustaceans (Ref. 6885).  A very important sport and commercial species (Ref. 2850).  The liver is rich in vitamin A (Ref. 6885).  Marketed fresh and frozen; eaten steamed, fried, broiled, boiled, microwaved and baked (Ref. 9988).  Has sharp teeth and gill rakers that can cut fingers if handled."
"RETSM0","RET","S","M","0","Actinopterygii","Scorpaeniformes","Hexagrammidae","Oxylebius","Oxylebius pictus","5",1,NA,NA,NA,NA,NA,"fusiform / normal","demersal","unknown","never/rarely","never/rarely",NA,"Found in rocky areas, from the intertidal to 49 m (Ref. 2850).  Sleeps on the oral disc, leaving the anemone (<i>Urticina lofotensis</i>) by day but returning every night (Ref. 45560).  Commonly encountered hovering motionless by divers (Ref. 2850).  Feeds on crustaceans, polychaetes, small mollusks and bryozoans (Ref. 4930).  Neither anterolateral glandular grooves nor venom gland is present (Ref. 57406)."
"RETSM0","RET","S","M","0","Actinopterygii","Perciformes","Embiotocidae","Rhacochilus","Rhacochilus toxotes","5",1,NA,NA,NA,NA,NA,"short and / or deep","demersal","unknown","never/rarely","never/rarely","commercial","Adults usually found in rocky areas, also in kelp and near jetties and pilings (Ref. 2850). From Surf zone to 50 m (Ref. 96339). Often in schools (Ref. 2850).  Viviparous, female carries the developing young (Ref. 205)."
"RETSM0","RET","S","M","0","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes caurinus","5",1,NA,NA,NA,NA,NA,"fusiform / normal","demersal","medium","never/rarely","public aquariums","minor commercial","Particularly abundant in shallow, protected bays and inlets, among rocks and kelp beds; also found around pilings and jetties or under floats (Ref. 27436).  Juveniles found in loose aggregations in shallow weedy bays, around wharfs, or among floating drift associated with summer tidelines (Ref. 27436).  Mainly a benthic feeder, may also take pelagic fishes (Ref. 27436).  Viviparous, with planktonic larvae (Ref. 36715).  Flesh is tasty, firm and flaky (Ref. 27436).  Sold mainly as fresh fillets or live in Chinese restaurants and fish markets; excellent for fish chips or for pan frying as fillets (Ref. 27436)."
"RETSM0","RET","S","M","0","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes chrysomelas","5",1,0.01,3.07,NA,16,39,"fusiform / normal","demersal","medium","never/rarely","never/rarely",NA,"Inhabit holes and crevices in rocky areas (Ref. 2850).  Found in intertidal areas and to 37 m (Ref. 2850).  Viviparous (Ref. 34817)."
"RETSM0","RET","S","M","0","Actinopterygii","Perciformes","Labridae","Semicossyphus","Semicossyphus pulcher","5",1,0.0289,3,NA,NA,91,"fusiform / normal","reef-associated","very high","never/rarely","commercial","commercial","Prefer rocky bottom, particularly in kelp beds.  Often feed on hard-shelled organisms such as sea urchins, mollusks, lobsters and crabs.  Spawning occur during the summer and the eggs are pelagic (Ref. 9311).  Live to more than 50 years of age.  Each individual functions first as a female but changes to a male at a length of about 30 cm.  Pelagic spawners (Ref. 56049).  Flesh is white,  of good quality and marketed fresh (Ref. 9311).  The large teeth can cause serious bite wounds."
"RETSM0","RET","S","M","0","Actinopterygii","Perciformes","Labridae","Semicossyphus","Semicossyphus pulcher","5",1,0.0289,3,3.6,NA,91,"fusiform / normal","reef-associated","very high","never/rarely","commercial","commercial","Prefer rocky bottom, particularly in kelp beds.  Often feed on hard-shelled organisms such as sea urchins, mollusks, lobsters and crabs.  Spawning occur during the summer and the eggs are pelagic (Ref. 9311).  Live to more than 50 years of age.  Each individual functions first as a female but changes to a male at a length of about 30 cm.  Pelagic spawners (Ref. 56049).  Flesh is white,  of good quality and marketed fresh (Ref. 9311).  The large teeth can cause serious bite wounds."
