Site,Algae,Transects
SSI,465,6
BMA,174,6
ITSP,246,6
ISMP,130,6
ITSE,224,6
RET,112,6
ICO,127,5
SMI,129,6
ASA,231,6
ERE,152,6
ERO,112,5
ISME,171,6
