Location,Lat,Long
ICO,32.361993,-117.230786
BMA,32.025276,-116.901537
SSI,31.975977,-116.838891
SMI,31.899616,-116.756898
ITSP,31.80796,-116.798563
ITSE,31.797257,-116.800004
RET,31.580678,-116.680692
ERE,31.258831,-116.401248
ISME,30.485448,-116.122492
ISMP,30.460254,-116.112496
ERO,29.844652,-115.778286
ISJE,29.786619,-115.799029
ISJP,29.784571,-115.789826
ASA,29.731835,-115.76808
